,Kabupaten Bangkalan,Kabupaten Banyuwangi,Kabupaten Blitar,Kabupaten Bojonegoro,Kabupaten Bondowoso,Kabupaten Gresik,Kabupaten Jember,Kabupaten Jombang,Kabupaten Kediri,Kabupaten Lamongan,Kabupaten Lumajang,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Malang,Kabupaten Mojokerto,Kabupaten Nganjuk,Kabupaten Ngawi,Kabupaten Pacitan,Kabupaten Pamekasan,Kabupaten Pasuruan,Kabupaten Ponorogo,Kabupaten Probolinggo,Kabupaten Sampang,Kabupaten Sidoarjo,Kabupaten Situbondo,Kabupaten Sumenep,Kabupaten Trenggalek,Kabupaten Tuban,Kabupaten Tulungagung,Kota Batu,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Mojokerto,Kota Pasuruan,Kota Probolinggo,Kota Surabaya
2017-01-31,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-02-28,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-03-31,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-04-30,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-05-31,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-06-30,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-07-31,0.5374263412450953,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4136620378521947,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2852855167625968
2017-08-31,0.5003792432866799,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.4007694908126154,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2570988491715023
2017-09-30,0.4645272130043425,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.3882928323872161,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2298214289220561
2017-10-31,0.4274801150459271,0.5341583953543924,0.5207755494878932,0.4816169140410585,0.4912565357158202,0.3754002853476369,0.6337834640707949,0.6113643997524454,0.6027681215956993,0.2967424163428835,0.0626913279052561,0.4886251373383705,0.2549389601281405,0.5034639848110477,0.4640833098314326,0.5700149188809965,0.6597668252254355,0.4726703027631093,0.431000800664135,0.2152295481885036,0.6912540954967731,0.6186677768721154,0.4699372134673408,0.2934922554292465,0.5493129609926135,0.4816771257060478,0.6289949591327688,0.5515679071621011,0.5387751149017325,0.3105862741972972,0.3245361604229272,0.5633061566428719,0.3022033661489375,0.3561911413331136,0.4177922675936593,0.3639099985620835,0.4882581640685665,0.2016347613309616
