,Kabupaten Bangkalan,Kabupaten Banyuwangi,Kabupaten Blitar,Kabupaten Bojonegoro,Kabupaten Bondowoso,Kabupaten Gresik,Kabupaten Jember,Kabupaten Jombang,Kabupaten Kediri,Kabupaten Lamongan,Kabupaten Lumajang,Kabupaten Madiun,Kabupaten Magetan,Kabupaten Malang,Kabupaten Mojokerto,Kabupaten Nganjuk,Kabupaten Ngawi,Kabupaten Pacitan,Kabupaten Pamekasan,Kabupaten Pasuruan,Kabupaten Ponorogo,Kabupaten Probolinggo,Kabupaten Sampang,Kabupaten Sidoarjo,Kabupaten Situbondo,Kabupaten Sumenep,Kabupaten Trenggalek,Kabupaten Tuban,Kabupaten Tulungagung,Kota Batu,Kota Blitar,Kota Kediri,Kota Madiun,Kota Malang,Kota Mojokerto,Kota Pasuruan,Kota Probolinggo,Kota Surabaya
2025-01-31,0.43765250377806175,0.26298514579087223,0.26755589435479726,0.3967777955154267,0.3260643479750677,0.2799263223289706,0.3698280958755429,0.278906321284481,0.2923827310686372,0.431739541293181,0.3741907036545178,0.3727407394012328,0.3053754334623711,0.25441428093324436,0.2651532212421443,0.297625959699922,0.3331458543374058,0.3139220825513267,0.27015018595596924,0.323203733510808,0.27458746998955025,0.22952787362681973,0.38560615784774416,0.13773988966104803,0.30214269062682225,0.27205780610697594,0.22155518993995976,0.30733025405511505,0.29958188713693845,0.11213084201450665,0.17207188866848347,0.2700268780159468,0.296775312457261,0.2035941123777591,0.15454065166232678,0.3219730497303231,0.3399610031727456,0.11455778774848062
2025-02-28,0.3615796845350191,0.25823641793630214,0.23849099154123815,0.35277870698987035,0.3220821676903756,0.2489050587245974,0.35376027704878593,0.3076319392391555,0.33716752311603415,0.3239330682571298,0.3819769925556348,0.3790879729496071,0.3752081646629185,0.2719335336477722,0.27683893588723374,0.32868051893451566,0.36745854641993714,0.2890779380144882,0.28765155180378327,0.3325619076441503,0.315390391636445,0.2357098382588656,0.3437646418979834,0.13567202433326347,0.33264299035175704,0.2928208593140851,0.20003308155480082,0.2500959603536074,0.2737707059356074,0.11732560266542028,0.17790787285190096,0.2752800558271951,0.27621284476725816,0.21379628584434007,0.12421293482639818,0.3030441775347413,0.354568461178678,0.11607157003405799
2025-03-31,0.3323011327339889,0.25571781842803193,0.2598045081108675,0.3698997706528253,0.33513181684598947,0.22587120978014155,0.3471343563930051,0.3021060518822206,0.3091793281170593,0.35730894575376126,0.3840539058589678,0.37409093702053997,0.3963456414679535,0.2552465715335999,0.27411466391914485,0.31727159970190205,0.37091910966186525,0.2835360501519001,0.27994763234661485,0.33846555900189385,0.2800175135794119,0.24596910852979081,0.32123149533631834,0.14832541775639474,0.31672451950750574,0.27049292516692747,0.18872259446119222,0.2980369103675733,0.24785266248740964,0.12362224561487939,0.1807758986468543,0.2800410085715049,0.28139339028326255,0.20857849208295715,0.1642909678090313,0.3092771182451314,0.3254725731725364,0.11042442049534575
2025-04-30,0.3193018902109075,0.2527507200855979,0.2327395483986171,0.36082099195540235,0.33301898034667565,0.2182198634583573,0.34124806320694595,0.31073665995520977,0.3315381875785682,0.3431887351916312,0.3876117464254935,0.3755176337889608,0.40660096701538384,0.26781758849920734,0.26722798100605416,0.3286694951784218,0.37273254691229835,0.27387192503867114,0.2739982949001933,0.34416991788928447,0.2882522271590919,0.2451776308154931,0.31989508158552377,0.16501625578471263,0.3403306040842539,0.27046751156233745,0.17113903719105727,0.26302090881201545,0.23016040474745997,0.12419253526651414,0.18199098058630986,0.28436799508208255,0.27985366704483167,0.20823964114338747,0.15385947191875046,0.3036636109855994,0.3503230031032536,0.10902458012633007
2025-05-31,0.3143675854192388,0.24984605026656392,0.24979207494341063,0.363313841268048,0.3383040094250863,0.22023538278137855,0.33869479763161603,0.3056913943127162,0.3152150524604282,0.3488418971343014,0.389325461035099,0.3732727555347699,0.4058985489012684,0.255574747135495,0.2671533640830923,0.3244726857367081,0.3700216003427006,0.27122974469933936,0.2794661253077767,0.34833393164646337,0.27410039605070446,0.25327081619608494,0.3130003825676851,0.17724674200556428,0.32223541730291894,0.26291005440992576,0.16556835472665649,0.27851222275092147,0.21569467320474192,0.12737288724739038,0.17967366169766827,0.2839481783802352,0.27982605261536286,0.20575431360650925,0.17050964429798254,0.30538041612343836,0.32432223715639463,0.1074945261171204
2025-06-30,0.311603634463103,0.24711565899600377,0.22960862296926643,0.36067208033565645,0.33614910196678727,0.22230706943438486,0.3350276216933593,0.3073623831939118,0.32556229803245734,0.3464080744525947,0.39190955212553347,0.37314439838828417,0.4068492192678387,0.2623824180914797,0.26218456526545564,0.3281395642367089,0.368141595567644,0.26685077435134597,0.26996727663995845,0.3517073917100676,0.27319064198964715,0.24907300494875126,0.31260719865959485,0.1786682046231622,0.33675322450319145,0.25857777078615124,0.1524227464096017,0.2663768214376241,0.20460338143903256,0.1268648235562817,0.18027328017143848,0.2851178771402475,0.27970192028627283,0.20458047400676943,0.16700373277305416,0.30337521418483077,0.34382198363091815,0.10646366969231023
2025-07-31,0.309945755931811,0.24426085256621902,0.24146513169287098,0.36033674501920476,0.33802500170981076,0.22175565935501154,0.3327631294182047,0.30302926527894936,0.3156563769961434,0.3477967463258096,0.393555785641719,0.3717930928785876,0.40679420961439106,0.25387653012164824,0.26092310656694273,0.32607022022570276,0.3650993883056607,0.26487744619369363,0.2761857668842429,0.3544205040546315,0.26580595069633145,0.2541407466880915,0.30984680688050276,0.16956787617522245,0.323253265345658,0.2550647518426491,0.1491053821668738,0.26857383746697133,0.19574691933611568,0.1275152382655736,0.17769955735981918,0.2833778759649993,0.27941310157871485,0.20258964405250307,0.17346646093173856,0.30370528100015753,0.32516546072892166,0.1051928956223756
2025-08-31,0.30826365621924035,0.2416533695809398,0.22659034970997993,0.3587832086646068,0.33571908235098596,0.21935762100258022,0.32933146465792473,0.30179172901055706,0.31983783197277066,0.34721766274233457,0.39585991721911556,0.3711501867214598,0.4082664363946732,0.2571032364080177,0.2576606299387244,0.3265647098868794,0.3626000266732063,0.26226312447580025,0.267564887945904,0.3565715090607698,0.26248147948297973,0.24938693112467675,0.30863166260631636,0.15503673740299023,0.33109057956516447,0.2503931321605517,0.13904430188728947,0.2631345234838361,0.1884204564866701,0.12600284453634378,0.17785399967908527,0.2827250981483967,0.2792931805691855,0.2013443582255479,0.17186826506370742,0.3025059576684482,0.3381436866978916,0.10362480795105813
2025-09-30,0.30674014209432626,0.23891610587196946,0.23441927212123645,0.3577747838521993,0.3358693325857445,0.21678122199954308,0.3267470026192667,0.29793764777171367,0.3133089067073584,0.34751947199915223,0.39761468534918215,0.3700970265755682,0.40961794430955756,0.25101989898293053,0.25591621872640125,0.32495673750399257,0.35981571685681246,0.2603512502781752,0.27198350273310434,0.3583545190155436,0.25725949249542357,0.25172220038167337,0.30672427803396485,0.14228333351654399,0.3217229857230902,0.2478680120666096,0.13667709872289,0.2615211460141583,0.18254621303407187,0.12508989665133835,0.17559949402116365,0.2805647446258038,0.2790590768893464,0.19964093145991774,0.17384687177964397,0.3022970995848172,0.3256051849061189,0.10204557865652172
2025-10-31,0.3052607090560115,0.23631364273771255,0.22328522646134558,0.3564937154594389,0.3337147893838545,0.21464705319885294,0.3234731669604573,0.29566415305099336,0.3144400239456642,0.34741012022869133,0.39970659225906413,0.369281091421214,0.41116874075123244,0.25210100874552205,0.25335945283546946,0.3241884237880549,0.3571045278500243,0.25841626726847217,0.2652092172302789,0.3598423372622489,0.2534042102154608,0.2472848445999556,0.3052421230094031,0.13653113293636984,0.325516609774289,0.24390317530813277,0.12858369730306698,0.25789315283941855,0.1772296424668081,0.12326777788135965,0.17540261417169806,0.2789942951697805,0.2788908343573157,0.1983035467944832,0.17256911955686016,0.30150026760730375,0.3335592494428397,0.10055368695845474
