TANGGAL,Aktual,Prediksi
2022-01-01,0.1804285980485516,0.12501605877215194
2022-02-01,0.0833132084456579,0.11729786874309255
2022-03-01,0.0817513314344652,0.11075960557462065
2022-04-01,0.1002456781206843,0.11047223256266682
2022-05-01,0.1259165623001341,0.11851384444376716
2022-06-01,0.1868518568224551,0.12320296741029448
2022-07-01,0.1640612593699191,0.12300782009587877
2022-08-01,0.1448034748136942,0.12352629946450515
2022-09-01,0.1477669119384247,0.12167155521278228
2022-10-01,0.1633076246200414,0.11810179213324463
2022-11-01,0.0074286514745898,0.10123635610074506
2022-12-01,0.0590847845446734,0.08485137005575033
