TANGGAL,Aktual,Prediksi
2022-01-01,0.0642681037622328,0.13602135689504535
2022-02-01,0.4905031660326231,0.21623329723597387
2022-03-01,0.2693754941933563,0.2598945608478419
2022-04-01,0.1786040243289268,0.28145940560309674
2022-05-01,0.4014859719301734,0.2849190284064284
2022-06-01,0.3473578961449911,0.2750567215355495
2022-07-01,0.1096977896250813,0.2643701495154145
2022-08-01,0.1313045953765673,0.19246016807574565
2022-09-01,0.1472571640648229,0.132267509438096
2022-10-01,0.1436029829630992,0.08463825069869854
2022-11-01,0.2638569793493009,0.062445304541443154
2022-12-01,0.0880311761872824,0.10361090041398618
