TANGGAL,Aktual,Prediksi
2022-01-01,0.375526653800979,0.22104466878313686
2022-02-01,0.1861764485812412,0.27286578335716644
2022-03-01,0.3746419812364133,0.3462799266031054
2022-04-01,0.3613682271088728,0.3825495601107158
2022-05-01,0.4848356334348415,0.4148185982542052
2022-06-01,0.4771408998486166,0.3893722491693487
2022-07-01,0.4985250164219877,0.3951889404027348
2022-08-01,0.283860710985671,0.4564395305796895
2022-09-01,0.4145790304039952,0.45793093917488015
2022-10-01,0.2824637978375943,0.4037900227234522
2022-11-01,0.2862077707533955,0.35814384966607954
2022-12-01,0.3773150198985888,0.3152745161905942
