TANGGAL,Aktual,Prediksi
2022-01-01,0.2593727173928239,0.2216487159774602
2022-02-01,0.4555074550592649,0.2415424016166948
2022-03-01,0.2920465923435175,0.24714053577104905
2022-04-01,0.428298001460564,0.24516498896056688
2022-05-01,0.4353332006790764,0.2218753344119841
2022-06-01,0.2187735515198182,0.24417903811511735
2022-07-01,0.1061701557431667,0.21647756033071275
2022-08-01,0.1785581223435631,0.17903385581439807
2022-09-01,0.0569724601396245,0.16083881277642895
2022-10-01,0.1989758991644408,0.203433344647594
2022-11-01,0.1761393175250223,0.25068834416169655
2022-12-01,0.2730861878583663,0.29318206822572523
