TANGGAL,Aktual,Prediksi
2022-01-01,0.2409797829804641,0.327518166423662
2022-02-01,0.2813101946862684,0.31028787296414884
2022-03-01,0.1291526863590705,0.3182017986922316
2022-04-01,0.3506290924692389,0.32733847669857524
2022-05-01,0.3786335981399618,0.33555218024705846
2022-06-01,0.3976718473573467,0.34598221588828804
2022-07-01,0.4648778073065486,0.3530627397638945
2022-08-01,0.464637249360013,0.3359576165333338
2022-09-01,0.4663962724080603,0.32912733101919756
2022-10-01,0.3929261071282834,0.31527569218539253
2022-11-01,0.3389672277625467,0.28130313756832054
2022-12-01,0.3773689606163219,0.25813761534966295
