TANGGAL,Aktual,Prediksi
2022-01-01,0.4019581635564912,0.32942604301646805
2022-02-01,0.414263005365883,0.338028218234567
2022-03-01,0.2295467599021841,0.3682510015255277
2022-04-01,0.3164986529187654,0.38384858315905596
2022-05-01,0.3246848954269778,0.41456674706370955
2022-06-01,0.3524579643847401,0.4405805183805883
2022-07-01,0.3788574762589407,0.4598839546912674
2022-08-01,0.4298795863869785,0.4588527782767502
2022-09-01,0.4174115654020787,0.44920618566263576
2022-10-01,0.2609667920336448,0.4487266235296202
2022-11-01,0.2198270783024458,0.43640243639665793
2022-12-01,0.2794622230175884,0.4251587663767879
