TANGGAL,Aktual,Prediksi
2022-01-01,0.4174017460610403,0.21367405121385843
2022-02-01,0.3609531512134176,0.2365542524543316
2022-03-01,0.3413389670133507,0.24319100409616393
2022-04-01,0.4489976280057021,0.2428706021537282
2022-05-01,0.3917117681724588,0.23597250153611557
2022-06-01,0.4477012324506656,0.22911582479827997
2022-07-01,0.356112590806559,0.22906004708329833
2022-08-01,0.2481653664239041,0.21100688670321463
2022-09-01,0.1629529330067849,0.18781824803256794
2022-10-01,0.2749850884443248,0.17452556752393844
2022-11-01,0.1930325950744344,0.18082476242153497
2022-12-01,0.3240454399606861,0.19012030252055007
