TANGGAL,Aktual,Prediksi
2022-01-01,0.3936493020173334,0.3765543541167486
2022-02-01,0.2597046471757219,0.38718247504409375
2022-03-01,0.4187901651614893,0.39824006325215505
2022-04-01,0.4720023490492569,0.4028380206123798
2022-05-01,0.5348109804077988,0.40539085143678394
2022-06-01,0.4505525022266847,0.3856113945954841
2022-07-01,0.4825916051372132,0.39103986452182815
2022-08-01,0.3716967424987598,0.38458192806217373
2022-09-01,0.4294065737475183,0.3788531141661278
2022-10-01,0.4030322771965456,0.3572815302734397
2022-11-01,0.2834444543791728,0.3453077262518537
2022-12-01,0.3434284580790436,0.33894393218590524
