TANGGAL,Aktual,Prediksi
2022-01-01,0.348529367647466,0.2794912068825761
2022-02-01,0.1403627156229049,0.2625414861940992
2022-03-01,0.2663298547905377,0.2608909968524018
2022-04-01,0.3127913674847557,0.2858204092709343
2022-05-01,0.2974387520234188,0.2983853292145791
2022-06-01,0.3483335801930795,0.31088049542603485
2022-07-01,0.2603213821009099,0.31793742249255336
2022-08-01,0.2572170170149973,0.31994885140906787
2022-09-01,0.1105033631233328,0.3147334839450275
2022-10-01,0.3014324136240858,0.3048454234562414
2022-11-01,0.1148984712461785,0.294122041303401
2022-12-01,0.0900770685794649,0.2938597777399734
