TANGGAL,Aktual,Prediksi
2022-01-01,0.3957533980941518,0.44751218966924194
2022-02-01,0.4186147398831224,0.48729612470389827
2022-03-01,0.2589956801242278,0.4873009206645524
2022-04-01,0.3592296494398684,0.4871202990206834
2022-05-01,0.3198869392775709,0.44716588461960693
2022-06-01,0.3916232663107892,0.41723529005994137
2022-07-01,0.2295145982714929,0.3841991668358554
2022-08-01,0.1765278884887621,0.35753333731730025
2022-09-01,0.2887171997086104,0.3510853123587637
2022-10-01,0.1463417038502308,0.37702110756048574
2022-11-01,0.2042369014569554,0.46569333581225697
2022-12-01,0.3662505642857535,0.5220167832447233
