TANGGAL,Aktual,Prediksi
2022-01-01,0.3761347259514457,0.3173464771930266
2022-02-01,0.3064721944601865,0.29901748252290306
2022-03-01,0.1595693202829551,0.28550949005009496
2022-04-01,0.3265758868611464,0.2778067886364257
2022-05-01,0.293190077669237,0.2765612500922834
2022-06-01,0.4329511602654491,0.2773532492939966
2022-07-01,0.4580399511221707,0.27097861928192324
2022-08-01,0.328943202126178,0.2467149297970252
2022-09-01,0.2634711901948089,0.23947782203159682
2022-10-01,0.2556671459414771,0.25834998059060654
2022-11-01,0.2285843608001304,0.30237448145191753
2022-12-01,0.4634080583599301,0.3188627053498831
