TANGGAL,Aktual,Prediksi
2022-01-01,0.1605912282434376,0.226249578668529
2022-02-01,0.5557907485172535,0.2907308655412848
2022-03-01,0.3528251869869864,0.33858122343532615
2022-04-01,0.3506238076054181,0.364884365390345
2022-05-01,0.5033686322235835,0.3781227513069391
2022-06-01,0.2936579256965261,0.3892087985789867
2022-07-01,0.1879976727405831,0.38557819152792305
2022-08-01,0.2411150537711777,0.3227683704182641
2022-09-01,0.1536847726735456,0.28760187457839764
2022-10-01,0.2024141244411912,0.26795110841389425
2022-11-01,0.3027128905274239,0.278703248844055
2022-12-01,0.2820735726958251,0.3276407565230398
