TANGGAL,Aktual,Prediksi
2022-01-01,0.3929797255536152,0.3211188678861393
2022-02-01,0.2557923573246755,0.33088811531851586
2022-03-01,0.3377983056757442,0.3513157144696525
2022-04-01,0.3818766167994921,0.3582692369923568
2022-05-01,0.3908549798273533,0.3618467429155253
2022-06-01,0.4555188889023255,0.356902996891188
2022-07-01,0.4625631979308989,0.3504416228345757
2022-08-01,0.3021302594812645,0.3298244023492417
2022-09-01,0.3363391857848011,0.3126098747899963
2022-10-01,0.3899644448448873,0.2966179544567845
2022-11-01,0.3601695251282841,0.3021647382526943
2022-12-01,0.242093286452295,0.30940697449144605
