TANGGAL,Aktual,Prediksi
2022-01-01,0.4288410850709523,0.3458014801803381
2022-02-01,0.2045302619301625,0.33736343769734806
2022-03-01,0.3181848985546286,0.3313959609348124
2022-04-01,0.3128478660154041,0.34308896566780983
2022-05-01,0.3759130310866012,0.34406451737319194
2022-06-01,0.4258462279477748,0.3505503029948596
2022-07-01,0.3229932739709736,0.34710354197704496
2022-08-01,0.2331683896185536,0.34228746797998205
2022-09-01,0.1476484598836227,0.33737625938688554
2022-10-01,0.3616693882244668,0.3397243503897437
2022-11-01,0.2176799690638044,0.35016734069288563
2022-12-01,0.2306335776722543,0.3651891619449602
