TANGGAL,Aktual,Prediksi
2022-01-01,0.3391554541403941,0.29526993318576905
2022-02-01,0.4638435304621602,0.27482541681038036
2022-03-01,0.1944298328066039,0.2600103286689335
2022-04-01,0.3467586701092092,0.2587138988313119
2022-05-01,0.3263740350354832,0.2541034161131802
2022-06-01,0.4573208570117151,0.25081677799829594
2022-07-01,0.3272609275320273,0.2398194890557338
2022-08-01,0.3376559859568689,0.21010936806978966
2022-09-01,0.2922775584840517,0.193869244742311
2022-10-01,0.2102529702413933,0.19349109964609684
2022-11-01,0.3155432382678489,0.21533343089284013
2022-12-01,0.3651756991077488,0.22169905041825996
