TANGGAL,Aktual,Prediksi
2022-01-01,0.3908215807204768,0.21786291361172355
2022-02-01,0.4394562380963904,0.23211430533666313
2022-03-01,0.3484975205981391,0.24259620233156923
2022-04-01,0.4015794579368654,0.2401234345342865
2022-05-01,0.4410408897543305,0.21776949545968652
2022-06-01,0.2273939854073172,0.16081088123980886
2022-07-01,0.0425145477090112,0.15494814567152124
2022-08-01,0.1396478767681891,0.12001431063026012
2022-09-01,0.0409755800103531,0.1000060174278501
2022-10-01,0.2158007220980169,0.06832593237861628
2022-11-01,0.1236766601086287,0.12084694863106249
2022-12-01,0.3201554565415686,0.16258933088085142
