TANGGAL,Aktual,Prediksi
2022-01-01,0.4134483855942926,0.24331555511659944
2022-02-01,0.4123690673788004,0.19855712947178092
2022-03-01,0.1322867983724803,0.17436025889933485
2022-04-01,0.3470204221202111,0.17895863561449107
2022-05-01,0.2099608767967379,0.18850202118282744
2022-06-01,0.4063905419752256,0.18935606885977102
2022-07-01,0.3582707053665055,0.19046468820376056
2022-08-01,0.3602440632903549,0.17300116094153523
2022-09-01,0.2690446917953715,0.15091876216301384
2022-10-01,0.2373092288349902,0.1473500996843966
2022-11-01,0.2758061433592053,0.1567915847175114
2022-12-01,0.4002378222543515,0.17407630733061888
