TANGGAL,Aktual,Prediksi
2022-01-01,0.3492203752642257,0.28563958279252255
2022-02-01,0.4954087205999912,0.2866136816675619
2022-03-01,0.3576536698412208,0.2965636138315849
2022-04-01,0.3725994908413688,0.30509425894105413
2022-05-01,0.3995062758353247,0.3067394018956704
2022-06-01,0.3215103614703704,0.30731103415166855
2022-07-01,0.3465928570187767,0.30839356375578075
2022-08-01,0.2535700516879836,0.2901453578484357
2022-09-01,0.2757099132901443,0.28154321385707504
2022-10-01,0.2690816747420883,0.2781368482736038
2022-11-01,0.2507055349188559,0.28248706759605874
2022-12-01,0.3052893558223531,0.29063363454208274
