TANGGAL,Aktual,Prediksi
2022-01-01,0.2696939017164925,0.38842378369148006
2022-02-01,0.3799584854770853,0.38404318736515664
2022-03-01,0.4434428480093652,0.38400361353864887
2022-04-01,0.3503216628155584,0.38386625957488296
2022-05-01,0.4724550411651493,0.3800564360403323
2022-06-01,0.4144833193517143,0.36128465839325624
2022-07-01,0.3817020601113577,0.37029747039320865
2022-08-01,0.3952539114554917,0.3623780411984498
2022-09-01,0.3290346389723516,0.35682477588243594
2022-10-01,0.3789331469587494,0.34374973598889963
2022-11-01,0.345245020348828,0.34833668650099503
2022-12-01,0.3265614000611766,0.35868936344434615
